name,cost,location,x,y
AF1h,1.0,frontal (anterior),-9.774,67.42663
AF2h,1.0,frontal (anterior),9.774,67.42663
AF3,1.0,frontal (anterior),-20.2608,69.09253
AF4h,1.0,frontal (anterior),20.2608,69.09253
AF5,1.0,frontal (anterior),-31.7574,63.57274
AF6,1.0,frontal (anterior),31.7574,63.57274
AFF1,1.0,frontal (anterior),-19.1853,59.84809
AFF2,1.0,frontal (anterior),19.1853,59.84809
AFF3h,1.0,frontal (anterior),-29.1114,61.72189
AFF4h,1.0,frontal (anterior),29.1114,61.72189
AFF5h,1.0,frontal (anterior),-39.5937,56.57281
AFF6h,1.0,frontal (anterior),39.5937,56.57281
AFF7h,1.0,frontal (anterior),-47.8215,50.81209
AFF8h,1.0,frontal (anterior),47.8215,50.81209
AFFz,1.0,frontal (anterior),0.0,63.49237
AFp3h,1.5,frontopolar,-9.8919,73.384
AFpz,1.5,frontopolar,0.0,71.6128
C1,1.0,central,-29.7054,-10.13582
C1h,1.0,central,-9.6021,-6.75173
C2,1.0,central,29.7054,-10.13582
C2h,1.0,central,9.6021,-6.75173
C3,1.0,central,-52.6167,-2.40869
C3h,1.0,central,-45.3654,-15.111029
C4,1.0,central,56.6352,-20.986499
C4h,1.0,central,45.3654,-15.111029
C5,1.0,central,-68.1084,-17.576795
C5h,1.0,central,-61.7283,-8.62373
C6,1.0,central,68.1084,-17.576795
C6h,1.0,central,61.7283,-8.62373
CCP1,1.0,central,-30.618,-30.15677
CCP1h,1.0,central,-15.4395,-24.99581
CCP2,1.0,central,30.618,-30.15677
CCP2h,1.0,central,15.4395,-24.99581
CCP3,1.0,central,-56.6352,-20.986499
CCP3h,1.0,central,-45.1206,-35.30279
CCP4h,1.0,central,45.1206,-35.30279
CCP5,1.0,central,-68.4414,-33.86882
CCP5h,1.0,central,-64.8081,-25.622516
CCP6,1.0,central,68.4414,-33.86882
CCP6h,1.0,central,64.8081,-25.622516
CP1,1.0,centro-parietal,-34.6545,-52.14935
CP1h,1.0,centro-parietal,-18.6849,-46.31987
CP2,1.0,centro-parietal,34.6545,-52.14935
CP2h,1.0,centro-parietal,18.6849,-46.31987
CP3,1.0,centro-parietal,-56.7693,-39.47177
CP4,1.0,centro-parietal,56.7693,-39.47177
CP5h,1.0,centro-parietal,-64.2285,-41.915
CP6h,1.0,centro-parietal,64.2285,-41.915
CPP1h,1.0,centro-parietal,-19.9755,-64.40726
CPP2h,1.0,centro-parietal,19.9755,-64.40726
CPP3,1.0,centro-parietal,-48.9213,-53.38505
CPP3h,1.0,centro-parietal,-35.2026,-67.38986
CPP4h,1.0,centro-parietal,48.9213,-53.38505
CPP5,1.0,centro-parietal,-64.5426,-53.37641
CPP5h,1.0,centro-parietal,-57.0744,-57.24182
CPP6,1.0,centro-parietal,64.5426,-53.37641
CPP6h,1.0,centro-parietal,57.0744,-57.24182
CPPz,1.0,centro-parietal,-4.194e-15,-54.24752
CPz,1.0,centro-parietal,-2.079e-15,-36.94862
F1,1.0,frontal,-27.639,48.31882
F1h,1.0,frontal,-9.6165,53.40679
F2,1.0,frontal,27.639,48.31882
F2h,1.0,frontal,9.6165,53.40679
F3h,1.0,frontal,-36.7722,52.82116
F4h,1.0,frontal,36.7722,52.82116
F5,1.0,frontal,-52.0245,41.48269
F5h,1.0,frontal,-45.0126,48.48019
F6,1.0,frontal,52.0245,41.48269
F6h,1.0,frontal,45.0126,48.48019
F7,1.0,frontal,-56.0313,33.72838
F8,1.0,frontal,56.0313,33.72838
FC1,1.0,fronto-central,-28.5246,20.52736
FC1h,1.0,fronto-central,-9.7137,27.68398
FC2,1.0,fronto-central,28.5246,20.52736
FC2h,1.0,fronto-central,9.7137,27.68398
FC3,1.0,fronto-central,-50.4261,25.51489
FC3h,1.0,fronto-central,-45.8964,14.94259
FC4,1.0,fronto-central,50.4261,25.51489
FC4h,1.0,fronto-central,45.8964,14.94259
FC5,1.0,fronto-central,-63.7227,14.12827
FC5h,1.0,fronto-central,-58.932,20.18518
FC6,1.0,fronto-central,63.7227,14.12827
FC6h,1.0,fronto-central,58.932,20.18518
FCC1h,1.0,fronto-central,-19.0188,6.7651
FCC2,1.0,fronto-central,39.6036,3.06862
FCC2h,1.0,fronto-central,19.0188,6.7651
FCC3,1.0,fronto-central,-57.2076,9.01258
FCC3h,1.0,fronto-central,-39.6036,3.06862
FCC4,1.0,fronto-central,57.2076,9.01258
